dashboard_name,visualization_name,visualization_type,required_measures,required_dimensions,can_be_created,notes_on_gaps,additional_measures_dimensions_needed
Course Performance,Headline KPI - Total Enrolments,Single Value Tile,fct_enrolment.cohort_count; prior_year_college_performance.prior_total_cohort,dim_academic_year.academic_year_name,Yes,Can be created with YoY comparison using fct_enrolment_yoy explore and prior_year_college_performance derived table.,None - fully supported
Course Performance,Headline KPI - Pass Rate,Single Value Tile,fct_enrolment.pass_rate_pct; prior_year_college_performance.prior_college_pass_rate,dim_academic_year.academic_year_name,Yes,Can be created with YoY comparison using derived tables.,None - fully supported
Course Performance,Headline KPI - High Grades,Single Value Tile,fct_enrolment.high_grade_pct; prior_year_college_performance.prior_college_high_grade,dim_academic_year.academic_year_name,Yes,Can be created with YoY comparison using derived tables.,None - fully supported
Course Performance,Headline KPI - Average Grade Points,Single Value Tile,fct_enrolment.avg_grade_points; prior_year_college_performance.prior_college_avg_grade_points,dim_academic_year.academic_year_name,Yes,Can be created. avg_grade_points added to fct_enrolment (via dim_grade join).,None - fully supported
Course Performance,Headline KPI - Completion Rate,Single Value Tile,fct_enrolment.completion_rate_pct; prior_year_college_performance.prior_college_completion_rate,dim_academic_year.academic_year_name,Yes,Can be created. completion_rate_pct measure added to fct_enrolment.,None - fully supported
Course Performance,Headline KPI - Average GCSE on Entry,Single Value Tile,fct_enrolment.avg_gcse_cohort; prior_year_college_performance.prior_college_avg_gcse,dim_academic_year.academic_year_name,Yes,Can be created with YoY comparison using derived tables.,None - fully supported
Course Performance,Headline Outcomes Trend,Line Chart,fct_enrolment.pass_rate_pct; fct_enrolment.high_grade_pct; fct_enrolment.avg_grade_points,dim_academic_year.academic_year_name,Yes,Can be created. All three metrics now available including avg_grade_points.,None - fully supported
Course Performance,Subject Performance Summary,Table,"fct_enrolment.cohort_count; fct_enrolment.grade_a_star_count; fct_enrolment.grade_a_count; fct_enrolment.grade_b_count; fct_enrolment.grade_c_count; fct_enrolment.grade_d_count; fct_enrolment.grade_e_count; fct_enrolment.grade_u_count; fct_enrolment.a_star_to_a_pct; fct_enrolment.a_star_to_b_pct; fct_enrolment.a_star_to_c_pct; fct_enrolment.a_star_to_e_pct; fct_enrolment.pass_rate_pct; fct_enrolment.avg_grade_points","dim_offering.offering_name; dim_offering_type.offering_type_name",Yes,Can be created. a_star_to_e_pct and avg_grade_points now available. YoY indicator available via prior_year_performance join.,vs_prior_year_indicator can be calculated as: pass_rate_pct - prior_pass_rate_pct
Course Performance,Grade Distribution by Subject,Stacked Bar Chart,"fct_enrolment.grade_a_star_count; fct_enrolment.grade_a_count; fct_enrolment.grade_b_count; fct_enrolment.grade_c_count; fct_enrolment.grade_d_count; fct_enrolment.grade_e_count; fct_enrolment.grade_u_count",dim_offering.offering_name; fct_enrolment.grade,Yes,Can be created using grade dimension pivot or stacked measures.,None - fully supported
Course Performance,Outcomes by Prior Attainment Band,Grouped Bar Chart,fct_enrolment.pass_rate_pct; fct_enrolment.high_grade_pct,fct_enrolment.prior_attainment_band; dim_academic_year.academic_year_name,Yes,Can be created with current schema.,None - fully supported
Course Performance,Subject Performance vs Prior Year,Scatter/Bubble Chart,fct_enrolment.pass_rate_pct; fct_enrolment.cohort_count; prior_year_performance.prior_pass_rate_pct,dim_offering.offering_name,Yes,Can be created using fct_enrolment_yoy explore with prior_year_performance join.,None - fully supported with derived table
Course Performance,Year-over-Year Subject Trajectory,Table with Sparklines,"fct_enrolment.cohort_count; fct_enrolment.pass_rate_pct; fct_enrolment.high_grade_pct",dim_offering.offering_name; dim_academic_year.academic_year_name,Partial,Sparklines require Looker visualization config. Data available for 6-year trend by querying all years.,Looker sparkline visualization configuration needed
Equity & Diversity,Gap Summary KPI - Gender Gap,Single Value Tile,fct_enrolment.gender_gap_pass_pp,dim_academic_year.academic_year_name,Yes,Can be created. gender_gap_pass_pp measure added to fct_enrolment.,None - fully supported
Equity & Diversity,Gap Summary KPI - Disadvantage Gap,Single Value Tile,fct_enrolment.disadvantage_gap_pass_pp,dim_academic_year.academic_year_name,Yes,Can be created. disadvantage_gap_pass_pp measure added to fct_enrolment.,None - fully supported
Equity & Diversity,Gap Summary KPI - SEND Gap,Single Value Tile,fct_enrolment.send_gap_pass_pp,dim_academic_year.academic_year_name,Yes,Can be created. send_gap_pass_pp measure added to fct_enrolment.,None - fully supported
Equity & Diversity,Gap Summary KPI - Ethnicity Gap,Single Value Tile,fct_enrolment.pass_rate_pct (grouped by ethnicity),dim_academic_year.academic_year_name; fct_enrolment.ethnicity,Partial,Requires Looker table calculation to find max/min pass rates across ethnicity groups then calculate gap.,ethnicity_gap_pp: Use table calculation on pass_rate_pct grouped by ethnicity to find (MAX - MIN)
Equity & Diversity,Attainment Gap by Demographic,Horizontal Bar Chart,fct_equity_gap.avg_gap_grade_points,fct_equity_gap.dimension_name,Yes,Can be created from fct_equity_gap.,None - fully supported
Equity & Diversity,Gap Trend Over Time,Line Chart,fct_equity_gap.avg_gap_grade_points,fct_equity_gap.dimension_name; dim_academic_year.academic_year_name,Yes,Can be created from fct_equity_gap for 6-year trend.,None - fully supported
Equity & Diversity,Demographic Breakdown Detail,Table,"fct_enrolment.cohort_count; fct_enrolment.pass_rate_pct; fct_enrolment.high_grade_pct; fct_enrolment.avg_grade_points; fct_enrolment.gap_vs_overall_pass_pp",fct_enrolment.gender; fct_enrolment.is_disadvantaged; fct_enrolment.ethnicity; fct_enrolment.is_send,Yes,Can be created. gap_vs_overall_pass_pp measure added to fct_enrolment.,vs_national requires external benchmark data not currently available
Equity & Diversity,Gender Analysis by Subject,Grouped Bar Chart,fct_enrolment.pass_rate_pct,dim_offering.offering_name; fct_enrolment.gender,Yes,Can be created by pivoting on gender dimension.,None - fully supported
Equity & Diversity,Disadvantage by Prior Attainment,Heat Map,fct_enrolment.pass_rate_pct,fct_enrolment.prior_attainment_band; fct_enrolment.is_disadvantaged,Yes,Can be created using pivot on is_disadvantaged.,None - fully supported
Equity & Diversity,Intersectional Analysis,Table,fct_enrolment.cohort_count; fct_enrolment.pass_rate_pct; fct_enrolment.gap_vs_overall_pass_pp,fct_enrolment.gender; fct_enrolment.is_disadvantaged; fct_enrolment.is_send,Yes,Can be created by combining demographic dimensions.,None - fully supported
Equity & Diversity,JEDI National Comparison,Table,fct_equity_gap.avg_student_grade_points; fct_equity_gap.avg_comparison_grade_points; fct_equity_gap.avg_gap_grade_points,fct_equity_gap.dimension_name; fct_equity_gap.student_group; fct_equity_gap.performance_band,Yes,Can be created from fct_equity_gap.,None - fully supported
ALPS Subject Benchmarking,ALPS Overview KPI - College Score,Single Value Tile,fct_alps_subject_performance.college_alps_band; fct_alps_subject_performance.weighted_avg_alps_score,dim_academic_year.academic_year_name,Yes,Can be created. college_alps_band and weighted_avg_alps_score measures added.,None - fully supported
ALPS Subject Benchmarking,ALPS Overview KPI - Subjects Band 1-2,Single Value Tile,fct_alps_subject_performance.count_band_1_2,dim_academic_year.academic_year_name,Yes,Can be created with existing measure.,None - fully supported
ALPS Subject Benchmarking,ALPS Overview KPI - Subjects Band 3-4,Single Value Tile,fct_alps_subject_performance.count_band_3_4,dim_academic_year.academic_year_name,Yes,Can be created with existing measure.,None - fully supported
ALPS Subject Benchmarking,ALPS Overview KPI - Subjects Band 5+,Single Value Tile,fct_alps_subject_performance.count_band_5_plus,dim_academic_year.academic_year_name,Yes,Can be created. count_band_5_plus measure added.,None - fully supported
ALPS Subject Benchmarking,ALPS Overview KPI - Unmapped Subjects,Single Value Tile,fct_alps_subject_performance.count_unmapped_subjects,dim_academic_year.academic_year_name,Yes,Can be created with existing measure.,None - fully supported
ALPS Subject Benchmarking,ALPS Band Distribution,Horizontal Bar Chart,fct_alps_subject_performance.count,fct_alps_subject_performance.alps_band; fct_alps_subject_performance.alps_band_description,Yes,Can be created. alps_band_description dimension added for labels.,None - fully supported
ALPS Subject Benchmarking,Subject ALPS Performance Table,"fct_alps_subject_performance.cohort_count_dim; fct_alps_subject_performance.average_alps_band; fct_alps_subject_performance.average_alps_score; fct_alps_subject_performance.pass_rate_pct_dim; fct_alps_subject_performance.high_grades_pct_dim","fct_alps_subject_performance.alps_subject_name; fct_alps_subject_performance.alps_qualification_type; fct_alps_subject_performance.national_benchmark_grade; fct_alps_subject_performance.subject_mapping_status",Yes,Can be created. Visible dimension versions added for cohort_count pass_rate and high_grades.,None - fully supported
ALPS Subject Benchmarking,ALPS Score vs Cohort Size,Bubble Chart,"fct_alps_subject_performance.average_alps_score; fct_alps_subject_performance.total_cohort_count; fct_alps_subject_performance.average_high_grades",fct_alps_subject_performance.alps_subject_name,Yes,Can be created with existing measures.,None - fully supported
ALPS Subject Benchmarking,Subject Benchmark Comparison,Dot Plot,fct_alps_subject_performance.pass_rate_pct_dim,fct_alps_subject_performance.alps_subject_name; fct_alps_subject_performance.national_benchmark_grade,Partial,Can show subject pass rate. National benchmark comparison requires grade-to-percentage conversion.,national_benchmark_pass_rate_pct (would need lookup table for grade to percentage conversion)
ALPS Subject Benchmarking,ALPS Trend by Subject,Line Chart (Small Multiples),fct_alps_subject_performance.average_alps_score,fct_alps_subject_performance.alps_subject_name; dim_academic_year.academic_year_name,Yes,Can be created if multi-year ALPS data exists in fact table.,None - requires historical data in fact table
ALPS Subject Benchmarking,Grade Distribution vs National,Grouped Bar Chart,fct_enrolment grade counts,fct_alps_subject_performance.alps_subject_name,Partial,Can show college grade distribution. National distribution not in current schema.,national_grade_distribution data (A* % A % B % etc. at national level)
ALPS Subject Benchmarking,ALPS Alerts Panel,Alert/Info Panel,fct_alps_subject_performance.count_band_5_plus,fct_alps_subject_performance.alps_subject_name; fct_alps_subject_performance.alps_band,Yes,Can be created as filtered list showing subjects in band 5+.,None - fully supported
Value-Added Analysis,VA Overview KPI - College VA Score,Single Value Tile,fct_subject_benchmark.weighted_avg_va_score; fct_subject_benchmark.avg_confidence_lower; fct_subject_benchmark.avg_confidence_upper,dim_academic_year.academic_year_name,Yes,Can be created. weighted_avg_va_score and confidence measures added.,None - fully supported
Value-Added Analysis,VA Overview KPI - VA Percentile,Single Value Tile,fct_subject_benchmark.va_percentile_tier,dim_academic_year.academic_year_name,Partial,Can show approximate percentile tier. Exact percentile would need actual national ranking data.,Exact va_percentile would need national percentile data
Value-Added Analysis,VA Overview KPI - VA Band,Single Value Tile,fct_subject_benchmark.college_va_band; fct_subject_benchmark.va_band_description,dim_academic_year.academic_year_name,Yes,Can be created. college_va_band and va_band_description added.,None - fully supported
Value-Added Analysis,VA Overview KPI - Subjects Above Expected,Single Value Tile,fct_subject_benchmark.count_above_expected; fct_subject_benchmark.count,dim_academic_year.academic_year_name,Yes,Can be created. count_above_expected measure added. Display as X/Y format.,None - fully supported
Value-Added Analysis,Value-Added by Subject,Horizontal Bar Chart,fct_subject_benchmark.avg_value_added_score; fct_subject_benchmark.avg_confidence_lower; fct_subject_benchmark.avg_confidence_upper,fct_subject_benchmark.six_dimensions_subject_name,Yes,Can be created with confidence interval measures for error bars.,None - fully supported
Value-Added Analysis,VA Score vs Average GCSE Entry,Scatter Plot,fct_subject_benchmark.avg_value_added_score; fct_subject_benchmark.average_gcse_on_entry,fct_subject_benchmark.six_dimensions_subject_name,Yes,Can be created with existing measures. avg_gcse_entry_score dimension available for filtering.,None - fully supported
Value-Added Analysis,VA Trend Over Time,Line Chart,fct_subject_benchmark.avg_value_added_score,dim_academic_year.academic_year_name; fct_subject_benchmark.qualification_type,Yes,Can be created if multi-year VA data exists in fact table.,None - requires historical data
Value-Added Analysis,Subject VA Performance Table,"fct_subject_benchmark.cohort_count; fct_subject_benchmark.average_gcse_on_entry; fct_subject_benchmark.avg_value_added_score; fct_subject_benchmark.va_band; fct_subject_benchmark.va_percentile_tier","fct_subject_benchmark.six_dimensions_subject_name; fct_subject_benchmark.qualification_type; fct_subject_benchmark.expected_grade; fct_subject_benchmark.actual_avg_grade; fct_subject_benchmark.confidence_interval_lower; fct_subject_benchmark.confidence_interval_upper",Yes,Can be created. cohort_count average_gcse_on_entry va_band and va_percentile_tier all added.,None - fully supported
Value-Added Analysis,VA Residual Analysis,Box Plot,fct_subject_benchmark.avg_residual_score; fct_subject_benchmark.max_va_score; fct_subject_benchmark.min_va_score,fct_subject_benchmark.six_dimensions_subject_name,Partial,Can show average min max residuals. True box plot requires student-level data.,Student-level VA residuals for interquartile calculations
Value-Added Analysis,Top 5 VA Performers,Ranked List,fct_subject_benchmark.avg_value_added_score,fct_subject_benchmark.six_dimensions_subject_name,Yes,Can be created with row limit and sort descending.,None - fully supported
Value-Added Analysis,Bottom 5 VA Performers,Ranked List,fct_subject_benchmark.avg_value_added_score,fct_subject_benchmark.six_dimensions_subject_name,Yes,Can be created with row limit and sort ascending.,None - fully supported
Gender Gap Analysis,Gender Gap Overview KPI - Female Pass Rate,Single Value Tile,fct_enrolment.female_pass_rate_pct,dim_academic_year.academic_year_name,Yes,Can be created. female_pass_rate_pct measure added.,None - fully supported
Gender Gap Analysis,Gender Gap Overview KPI - Male Pass Rate,Single Value Tile,fct_enrolment.male_pass_rate_pct,dim_academic_year.academic_year_name,Yes,Can be created. male_pass_rate_pct measure added.,None - fully supported
Gender Gap Analysis,Gender Gap Overview KPI - Gender Gap,Single Value Tile,fct_enrolment.gender_gap_pass_pp,dim_academic_year.academic_year_name,Yes,Can be created. gender_gap_pass_pp measure added.,None - fully supported
Gender Gap Analysis,Gender Gap Overview KPI - Subjects with Gap >5pp,Single Value Tile,subject_gender_gap.count_subjects_with_large_gap,dim_academic_year.academic_year_name,Yes,Can be created using subject_gender_gap derived table.,None - fully supported
Gender Gap Analysis,Gender Gap by Subject,Horizontal Bar Chart,subject_gender_gap.subject_gender_gap_pass,subject_gender_gap.offering_name,Yes,Can be created using subject_gender_gap derived table.,None - fully supported
Gender Gap Analysis,Gender Gap Trend,Line Chart,fct_enrolment.gender_gap_pass_pp,dim_academic_year.academic_year_name,Yes,Can be created with gender_gap_pass_pp measure over multiple years.,None - fully supported
Gender Gap Analysis,Gender Performance by Subject,Grouped Bar Chart,fct_enrolment.pass_rate_pct,dim_offering.offering_name; fct_enrolment.gender,Yes,Can be created by pivoting on gender dimension.,None - fully supported
Gender Gap Analysis,Gender Gap by Prior Attainment,Grouped Bar Chart,fct_enrolment.gender_gap_pass_pp,fct_enrolment.prior_attainment_band; dim_academic_year.academic_year_name,Yes,Can be created with gender_gap_pass_pp filtered by prior_attainment_band.,None - fully supported
Gender Gap Analysis,Intersectional Gender Analysis,Heat Map,fct_enrolment.pass_rate_pct,fct_enrolment.gender; fct_enrolment.is_disadvantaged; fct_enrolment.ethnicity,Yes,Can be created using dimension pivots.,None - fully supported
Gender Gap Analysis,Gender Distribution by Grade,Stacked Bar Chart,fct_enrolment.cohort_count,fct_enrolment.grade; fct_enrolment.gender,Yes,Can be created by pivoting on gender dimension.,None - fully supported
Gender Gap Analysis,Gender Gap vs National Benchmark,Dot Plot,fct_equity_gap.avg_gap_grade_points,fct_equity_gap.student_group; fct_equity_gap.comparison_group,Yes,Can be created from fct_equity_gap filtered to Gender dimension.,None - fully supported
Gender Gap Analysis,Subject-Level Gender Analysis Table,Table,"subject_gender_gap.subject_female_pass_rate; subject_gender_gap.subject_male_pass_rate; subject_gender_gap.subject_gender_gap_pass; subject_gender_gap.subject_female_high_grade_rate; subject_gender_gap.subject_male_high_grade_rate; subject_gender_gap.subject_gender_gap_high_grade",subject_gender_gap.offering_name,Yes,Can be created using subject_gender_gap derived table with all gender-specific measures.,None - fully supported
Comprehensive Benchmarking,Strategic KPI - College VA Percentile,Single Value Tile,fct_subject_benchmark.va_percentile_tier,dim_academic_year.academic_year_name,Partial,Can show approximate percentile tier. Exact national percentile ranking needs external data.,Exact national percentile ranking
Comprehensive Benchmarking,Strategic KPI - College ALPS Score,Single Value Tile,fct_alps_subject_performance.college_alps_band; fct_alps_subject_performance.weighted_avg_alps_score,dim_academic_year.academic_year_name,Yes,Can be created with weighted average ALPS measures.,None - fully supported
Comprehensive Benchmarking,Strategic KPI - Pass Rate vs National,Single Value Tile,fct_enrolment.pass_rate_pct,dim_academic_year.academic_year_name,Partial,Can show college pass rate. National benchmark comparison needs external data.,national_pass_rate benchmark data
Comprehensive Benchmarking,Strategic KPI - Largest Equity Gap,Single Value Tile,fct_equity_gap.max_gap_grade_points,fct_equity_gap.dimension_name,Yes,Can be created from fct_equity_gap using max gap.,None - fully supported
Comprehensive Benchmarking,External Benchmark Summary Table,Table,"fct_alps_subject_performance.weighted_avg_alps_band; fct_subject_benchmark.weighted_avg_va_score; fct_college_performance.avg_pass_rate",dim_academic_year.academic_year_name,Yes,Can be created by combining measures from multiple explores. YoY change available.,None - fully supported
Comprehensive Benchmarking,Subject League Table,Table,"fct_enrolment.pass_rate_pct; fct_enrolment.high_grade_pct; fct_alps_subject_performance.average_alps_band; fct_alps_subject_performance.average_alps_score; fct_subject_benchmark.avg_value_added_score; fct_subject_benchmark.va_band",dim_offering.offering_name; fct_subject_benchmark.performance_trajectory,Partial,Requires joining multiple fact tables via subject mapping. Most fields available.,composite_rank measure would need custom calculation; stability_score needs variance calculation
Comprehensive Benchmarking,Benchmark Correlation Analysis,Scatter Plot Matrix,"fct_enrolment.pass_rate_pct; fct_alps_subject_performance.average_alps_score; fct_subject_benchmark.avg_value_added_score; fct_enrolment.cohort_count",dim_offering.offering_name,Partial,Requires joining multiple fact tables via alps_subject_name and six_dimensions_subject_name mappings.,Join logic via subject name mappings; may need custom explore
Comprehensive Benchmarking,Percentile Rank Trend,Area Chart,fct_subject_benchmark.va_percentile_tier; fct_alps_subject_performance.average_alps_band,dim_academic_year.academic_year_name,Partial,Can show VA percentile tier and ALPS band trends. True percentile ranking needs external data.,alps_percentile; sixth_sense_percentile (national ranking data)
Comprehensive Benchmarking,Subject Performance Quadrant Analysis,Scatter Plot,fct_enrolment.pass_rate_pct; fct_alps_subject_performance.average_alps_score,dim_offering.offering_name,Partial,Requires joining fct_enrolment to fct_alps via alps_subject_name dimension on dim_offering.,Custom explore joining both fact tables via subject mapping
Comprehensive Benchmarking,Target Achievement Summary,Progress Bars,fct_enrolment.pass_rate_pct; fct_enrolment.high_grade_pct; fct_alps_subject_performance.college_alps_band; fct_subject_benchmark.weighted_avg_va_score; fct_enrolment.gender_gap_pass_pp,dim_academic_year.academic_year_name,Partial,All metrics available. Need target values for comparison.,Target values as parameters or dimension (target_pass_rate; target_high_grades; target_alps_band; target_va_score; target_gender_gap)
Comprehensive Benchmarking,Year-over-Year Component Analysis,Waterfall Chart,fct_enrolment.pass_rate_pct; prior_year_performance.prior_pass_rate_pct,dim_offering.offering_name; dim_academic_year.academic_year_name,Partial,Current and prior year data available. Waterfall chart needs custom Looker config for contribution calculation.,Looker waterfall visualization configuration; subject_contribution_to_change calculation
